agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
None,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,530,CC,45.0,465.0,485.0,50.0,9.0,43.0,2,1,0,1,0,1,1,1,1,1,1.0,0,1,0,1,0,1,individual_gas,1,0,0,2.0,0,1,1,0,1,1,0,1,0,0,0,6.274762021241939
None,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,486,CC,40.0,524.16,446.0,140.0,32.0,40.32,1,1,0,1,0,1,0,0,1,1,1.0,0,1,0,0,0,1,individual_gas,0,1,0,1.0,0,0,1,1,1,0,0,0,0,0,0,6.18826412308259
afedim gestion,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,570,CC,67.5,579.84,650.0,63.0,13.0,43.33,2,1,0,0,0,0,0,1,1,0,1.0,0,1,0,0,0,0,individual_gas,0,0,0,4.0,0,0,1,0,0,0,0,0,0,0,0,6.3473892096560105
cabinet claude sanchez,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,900,CC,50.0,442.0,630.0,140.0,33.0,57.0,3,0,0,1,0,0,0,2,1,0,1.0,1,0,0,1,0,0,individual_gas,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,6.803505257608338
orpi saint georges,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,510,CC,50.0,456.0,592.0,91.0,21.0,22.0,1,1,0,0,0,1,0,0,1,0,1.0,1,0,0,0,0,1,individual,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,1,6.236369590203704
cabinet claude sanchez,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,682,CC,75.0,576.61,580.0,72.5,9.0,66.0,3,1,0,1,0,0,0,2,1,0,1.0,1,1,0,0,0,1,central,0,0,0,1.0,0,0,1,1,1,0,0,0,1,0,1,6.52649485957079
midi transactions,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,613,CC,56.0,290.0,557.0,184.5,13.0,43.0,2,1,0,1,0,0,0,1,1,0,1.0,1,0,0,0,1,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.419994928147142
cabinet l'immeuble,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,379,CC,14.0,299.0,365.0,447.0,14.0,23.0,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,1,1,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,5.940171252720432
square habitat,sector2,TOULOUSE RIVE GAUCHE,n2_3,Fontaine-Lestang - Arènes -Bagatelle - Papus - Tabar - Bordelongue - Mermoz - La Faourette,430,CC,50.0,393.12,380.0,169.0,6.0,30.24,1,1,0,0,0,1,0,0,0,1,1.0,0,1,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.066108090103747
immo de france midi-pyrenees,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,432,CC,50.0,442.0,630.0,184.5,13.0,19.0,1,0,0,0,0,1,0,0,0,1,1.0,0,0,0,0,0,0,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.07073772800249
None,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,791,CC,125.0,0.0,665.67,40.0,9.0,64.91,3,1,0,1,0,0,0,2,1,0,1.0,1,0,1,0,0,0,individual_gas,0,0,0,1.0,0,0,1,1,1,0,0,1,0,0,0,6.674561391814426
square habitat,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,823,CC,100.0,844.08,723.0,129.0,6.0,72.17,4,0,0,1,0,0,0,3,1,0,1.0,0,1,0,0,0,1,individual_electrical,2,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,6.714170529909472
immo de france midi-pyrenees,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,537,CC,60.0,538.98,610.0,326.0,17.0,50.0,2,1,0,1,0,0,1,1,1,0,1.0,0,1,1,0,0,0,individual_electrical,0,0,0,2.0,0,0,1,1,0,0,0,0,1,0,0,6.2878585601617845
orpi st cyprien,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,574,CC,67.5,579.84,650.0,189.0,6.0,42.0,2,0,0,1,0,0,0,1,1,0,1.0,1,0,1,0,0,1,individual,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.354370040797351
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,751,CC,155.0,824.2,596.0,124.0,14.0,63.4,3,1,0,1,0,0,0,2,1,0,1.0,1,1,0,0,0,0,central,0,0,0,2.0,0,0,1,0,1,0,0,0,0,0,0,6.62273632394984
agence jcb,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,684,CC,60.0,544.0,624.0,165.0,6.0,49.0,3,0,0,1,18,0,1,2,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,0,6.529418838262226
immo de france midi-pyrenees,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,494,CC,60.0,538.98,610.0,173.0,5.0,40.5,1,1,0,1,0,0,1,1,1,0,1.0,0,1,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,1,1,0,0,0,0,1,0,0,6.20455776256869
cabinet dalas,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,425,CC,50.0,442.0,630.0,150.0,20.0,18.0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,0,0,0,0,central,0,0,0,1.0,1,0,0,0,0,0,0,0,1,0,0,6.054439346269371
None,sector6,TOULOUSE OUEST,n6_1,Arènes Romaines - Saint Martin du Touch- Purpan,373,CC,23.0,233.98,349.55,63.0,13.0,18.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,5.924255797414532
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,768,CC,81.0,754.26,687.0,221.0,11.0,58.02,3,1,0,1,0,1,0,2,1,0,1.0,1,1,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.645090969505644
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,916,CC,95.0,587.6,821.0,137.0,4.0,45.2,2,1,0,1,0,1,0,1,0,1,1.0,0,0,0,0,0,0,individual_electrical,0,1,0,5.0,0,0,1,1,0,0,0,0,0,0,0,6.821107472256465
tagerim gestion,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,777,CC,70.0,624.9,605.0,156.0,5.0,69.2,4,0,0,0,25,1,0,3,1,0,1.0,0,0,1,0,0,1,individual_electrical,2,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.656726524178391
None,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,593,CC,40.0,321.75,553.0,216.0,8.0,24.75,1,0,0,0,0,0,0,0,1,0,1.0,1,0,0,0,0,1,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,1,0,0,6.386879319362645
logis relais 31,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,950,CC,55.0,539.0,566.5,155.5,11.0,54.0,2,0,0,0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,individual_gas,0,0,0,2.0,1,0,0,0,0,0,0,0,1,0,0,6.85751406254539
None,sector1,TOULOUSE CENTRE,n1_2,Amidonniers - Compans Caffarelli,514,CC,0.0,259.98,467.02,231.0,8.0,20.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,6.244166900663736
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,426,CC,25.0,243.62,401.0,264.0,14.0,43.0,1,0,0,1,0,1,0,0,0,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,1,0,0,0,0,1,0,0,6.056784013228625
logis relais 31,sector4,TOULOUSE EST,n4_1,Lapujade - Bonnefoy - Périole - Marengo - La Colonne,850,CC,40.0,400.39,505.0,240.0,15.0,80.0,3,0,0,0,0,0,0,2,1,0,1.0,0,1,1,0,0,0,central,1,0,0,6.0,1,0,1,0,0,0,0,0,0,0,0,6.7464121285733745
None,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,375,CC,30.0,273.0,345.0,202.0,10.0,43.0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,5.929589143389895
None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,460,CC,0.0,377.0,460.0,253.0,12.0,29.0,2,0,0,1,0,0,0,1,1,1,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.133398042996649
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,815,CC,95.0,928.33,720.0,52.0,12.0,58.44,3,0,0,0,0,0,0,2,1,0,1.0,0,0,1,1,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.704414354964107
None,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,725,CC,76.48,388.0,648.57,308.0,17.0,59.8,3,1,1,1,0,0,0,2,0,1,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.587550014824796
cabinet rivet-vigreux,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,949,CC,40.0,733.2,908.66,155.0,6.0,56.4,3,0,0,0,0,1,1,2,0,1,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,0,0,0,1,0,1,6.856461984594587
square habitat,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,546,CC,70.0,513.5,476.0,173.0,6.0,39.5,2,0,0,0,0,0,0,1,1,0,1.0,0,1,0,0,0,0,individual_electrical,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.304448802421981
square habitat,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,499,CC,64.0,417.6,435.0,244.0,12.0,38.21,1,1,0,1,0,1,0,0,0,1,1.0,1,1,0,0,0,1,individual_electrical,1,0,1,2.0,0,0,0,0,0,0,1,0,0,0,0,6.214608098422191
None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,591,CC,39.0,577.59,552.0,155.5,11.0,44.43,2,0,0,0,0,0,0,1,1,0,1.0,1,1,0,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,6.3835066348840055
None,sector6,TOULOUSE OUEST,n6_3,Mirail- Université - Reynerie - Bellefontaine,454,CC,58.0,390.0,396.0,49.0,11.0,30.0,1,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,0,individual_electrical,1,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,6.12029741895095
immodem segito,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,650,CC,50.0,550.0,600.0,436.0,25.0,42.0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,1.0,0,0,0,1,1,0,0,0,0,0,0,6.478509642208569
None,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,667,CC,100.0,0.0,566.7,72.5,9.0,57.26,3,1,0,1,0,0,0,2,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.504288173536645
None,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,862,CC,100.0,0.0,761.57,144.0,5.0,82.53,4,1,0,1,0,0,0,3,1,0,1.0,1,1,1,0,0,0,individual_electrical,0,0,0,1.0,0,0,1,1,1,0,0,0,0,0,0,6.760414691083428
None,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,1050,CC,110.0,1050.0,940.0,54.0,13.0,94.55,4,0,0,0,0,1,0,3,1,1,2.0,1,0,0,0,0,0,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,6.957497370876951
cabinet l'immeuble,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,764,CC,74.0,702.0,690.0,222.0,11.0,54.0,3,0,0,1,0,0,1,2,0,1,1.0,0,1,0,1,0,0,individual_electrical,1,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,6.639875833826536
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,787,CC,0.0,0.0,630.0,49.0,9.0,60.83,3,1,0,1,0,0,1,2,1,0,1.0,1,0,1,0,0,1,gas,1,0,0,2.0,0,0,1,1,0,0,0,0,0,0,0,6.669498089857879
cabinet bedin toulouse les minimes,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,1333,CC,85.0,1194.0,592.0,162.0,37.0,91.9,4,0,1,1,30,0,0,3,1,1,2.0,0,1,0,0,0,0,gas,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,7.195937226475569
None,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,488,CC,35.0,296.4,453.0,257.0,13.0,23.0,1,1,0,1,0,0,0,0,0,0,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,3.0,0,0,1,0,0,0,1,0,1,1,1,6.192362489474872
agence metropole,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,600,CC,60.0,559.5,563.735,430.0,25.0,48.0,2,1,0,0,0,0,0,1,1,0,1.0,1,0,0,0,0,0,individual_gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.398594934535208
passion immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,519,CC,60.0,459.0,459.0,49.0,13.0,44.0,2,1,0,1,0,1,1,1,1,0,1.0,0,0,0,0,0,1,individual_gas,1,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,6.253828811575473
cabinet l'immeuble,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,852,CC,80.0,852.0,772.0,198.0,10.0,83.0,4,1,0,1,38,0,1,3,1,0,1.0,0,0,1,1,0,1,individual_electrical,2,0,0,3.0,0,0,1,1,1,0,0,0,1,0,0,6.748759547491679
immo de france midi-pyrenees,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,745,CC,60.0,538.98,610.0,147.0,12.0,62.0,3,1,0,0,0,1,0,2,1,0,1.0,0,1,0,1,0,1,gas,0,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,6.61472560020376
sarl agestis,sector6,TOULOUSE OUEST,n6_4,Saint Simon - Lafourguette - Oncopole,710,CC,60.0,595.0,591.0,67.0,11.0,60.0,3,0,0,0,0,0,0,2,1,0,1.0,0,0,1,0,0,0,individual_gas,0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,1,6.566672429803241
societe de gestion locative,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,700,CC,80.0,710.73,620.0,45.0,11.0,62.8,3,1,0,1,24,0,0,2,1,0,1.0,0,1,0,0,0,1,central,1,0,0,5.0,0,0,0,0,0,0,0,0,1,0,0,6.55250788703459
cigec,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,570,CC,48.0,376.0,522.0,164.0,6.0,36.0,2,1,0,1,0,0,0,1,1,0,1.0,0,0,0,0,0,1,individual_electrical,0,0,0,1.0,0,0,0,1,0,0,0,0,1,1,0,6.3473892096560105
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,670,CC,60.0,650.0,610.0,184.5,13.0,50.0,2,0,0,0,0,0,1,1,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.508769136971682
cabinet bedin toulouse les minimes,sector4,TOULOUSE EST,n4_1,Lapujade - Bonnefoy - Périole - Marengo - La Colonne,500,CC,50.0,396.0,505.0,282.0,66.0,30.5,1,1,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,1,gas,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,6.2166061010848646
capitole gestion,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,676,CC,70.0,545.38,605.98,44.0,10.0,60.05,3,1,0,1,0,0,0,2,1,0,1.0,1,1,0,0,0,1,individual_gas,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.517671272912275
ofi gestion,sector3,TOULOUSE NORD,n3_3,Trois Cocus - Borderouge - Croix Daurade - Paleficat - Grand Selve,550,CC,57.0,585.0,493.0,118.0,4.0,45.0,2,0,0,0,0,0,1,1,1,0,1.0,0,0,1,1,0,1,individual_electrical,1,0,0,3.0,0,0,1,1,0,0,0,0,0,0,0,6.311734809152915
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,850,CC,55.0,700.0,1590.0,184.5,13.0,37.0,2,1,1,0,0,1,1,1,0,1,1.0,0,0,0,1,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,6.7464121285733745
cabinet l'immeuble,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,465,CC,34.0,273.0,431.0,227.0,10.0,21.0,1,0,0,0,0,1,1,0,0,1,1.0,0,0,0,1,0,0,individual_electrical,0,0,0,3.0,0,0,0,1,1,0,0,0,1,0,0,6.144185634125646
cabinet bedin toulouse st cyprien,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,531,CC,50.0,338.0,630.0,218.0,7.0,30.0,2,0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.2766434893416445
None,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,800,CC,30.0,600.0,770.0,184.5,13.0,35.0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,1,0,individual_gas,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.68586094706836
cabinet bedin toulouse demoiselles,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,661,CC,70.0,504.0,605.0,212.0,9.0,38.8,2,0,0,1,19,0,0,1,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,6.495265555937008
passion immo,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,444,CC,35.0,364.0,409.0,314.0,16.0,28.0,1,0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,6.09807428216624
cabinet bedin toulouse les minimes,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,561,CC,60.0,306.0,610.0,336.0,78.0,23.0,1,0,0,0,0,0,0,0,1,0,1.0,0,1,0,0,0,1,individual_electrical,0,0,0,2.0,1,0,0,0,0,0,0,0,1,0,0,6.331501849893691
passion immo,sector5,TOULOUSE SUD EST,n5_3,Saint Michel - Le Busca - Empalot - Saint Agne,418,CC,45.0,188.0,373.0,320.0,17.0,28.0,1,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,individual_electrical,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.037870919922137
orpi st cyprien,sector2,TOULOUSE RIVE GAUCHE,n2_4,Casselardit - Fontaine-Bayonne - Cartoucherie,620,CC,40.0,560.3,623.0,212.0,45.0,57.0,2,0,0,0,0,0,0,1,1,0,1.0,1,1,0,0,0,1,individual,0,0,0,3.0,0,0,0,0,0,0,0,0,1,1,0,6.431331081933479
pure gestion locative,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,540,CC,50.0,413.0,490.0,147.0,12.0,41.3,2,1,0,1,19,1,0,1,0,1,1.0,0,1,0,0,0,1,individual,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1,6.293419278846481
sarl agestis,sector5,TOULOUSE SUD EST,n5_2,Rangueil - Saouzelong - Pech David - Pouvourville,659,CC,45.0,346.45,525.0,212.0,9.0,47.0,2,1,0,0,0,1,0,1,0,0,1.0,1,0,0,0,0,1,individual_electrical,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.492239835020471
None,sector6,TOULOUSE OUEST,n6_3,Mirail- Université - Reynerie - Bellefontaine,1170,CC,150.0,600.0,2040.0,162.5,9.5,85.0,4,1,0,1,0,0,0,3,0,1,1.0,0,0,1,1,0,1,collective_gas,0,0,0,2.0,1,0,1,1,0,0,0,0,1,0,0,7.065613363597717
elyade gerance,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,815,CC,200.0,815.0,615.0,42.0,11.0,68.0,3,1,0,1,0,0,0,2,1,0,1.0,1,1,0,1,0,1,individual_gas,0,0,0,2.0,0,0,1,0,0,0,1,0,0,0,0,6.704414354964107
None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,575,CC,43.0,510.0,532.0,155.5,11.0,45.87,2,1,0,1,0,1,1,1,0,1,1.0,0,1,1,0,0,1,individual_electrical,1,0,0,1.0,0,0,1,1,1,1,0,0,1,0,1,6.3561076606958915
None,sector5,TOULOUSE SUD EST,n5_1,Pont des Demoiselles - Ormeau - Montaudran - La Terrasse - Malepère,519,CC,60.0,478.53,459.0,66.0,15.0,36.81,2,0,0,1,0,1,1,1,1,0,1.0,1,1,0,0,0,0,individual_gas,0,0,1,2.0,0,0,1,0,1,0,0,0,0,0,0,6.253828811575473
credit agricole immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,632,CC,73.0,823.29,559.0,150.0,6.0,63.33,3,0,0,0,0,1,0,2,1,0,1.0,1,1,1,0,0,1,individual_gas,1,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,6.450470422144176
louer1appart com,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,695,CC,65.0,559.5,563.735,40.0,10.0,62.82,3,1,1,1,0,1,0,2,1,0,1.0,1,1,0,0,0,1,individual_gas,2,0,0,2.0,0,0,1,1,0,0,0,0,1,0,1,6.54534966033442
booster location gestion,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,548,CC,45.0,378.0,1006.0,173.0,40.0,47.0,1,0,0,0,0,0,0,1,1,0,1.0,0,0,1,0,0,0,gas,1,0,0,2.0,1,0,1,0,0,0,0,0,0,0,0,6.3080984415095305
orpi saint georges,sector1,TOULOUSE CENTRE,n1_3,Les Chalets/Bayard/Belfort  Saint-Aubin/Dupuy,580,CC,60.0,471.70500000000004,728.845,354.0,19.0,25.0,2,1,0,0,0,0,0,1,1,1,1.0,0,0,0,0,0,1,individual,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.364750756851911
None,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,475,CC,25.0,160.0,900.0,125.0,8.0,22.46,1,1,0,1,0,1,1,0,0,1,1.0,0,1,0,0,0,1,individual_electrical,0,0,0,1.0,1,0,0,1,0,0,0,0,1,0,0,6.16541785423142
auditia transaction - agent commercial,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,710,CC,60.0,559.5,563.735,50.0,9.0,62.69,3,1,0,0,0,0,0,2,1,0,1.0,0,0,1,0,0,1,individual_gas,2,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.566672429803241
sporting immobilier,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,1473,CC,55.0,539.0,566.5,99.0,23.0,140.0,5,0,0,0,0,0,0,4,1,1,1.0,1,1,0,0,0,1,gas,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,7.295735072749282
sporting immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,670,CC,60.0,559.5,563.735,15.0,10.0,62.0,3,1,0,1,0,1,0,2,1,0,1.0,1,1,0,0,0,1,individual_gas,0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,6.508769136971682
sporting immobilier,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,673,CC,60.0,559.5,563.735,41.0,12.0,62.0,3,1,0,0,0,0,0,2,1,0,1.0,0,1,0,0,0,1,individual_gas,0,0,0,4.0,0,0,1,0,1,0,0,0,1,0,0,6.513230110912307
sng extensia,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,535,CC,60.0,559.5,563.735,50.0,5.0,42.73,2,0,0,1,0,1,0,1,0,1,1.0,0,1,0,0,0,1,individual_gas,1,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,6.284134161070802
societe de gestion locative,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,660,CC,45.0,706.21,615.0,34.0,7.0,65.59,3,1,0,1,31,0,0,2,1,0,1.0,0,1,0,1,0,1,central,1,0,0,1.0,0,0,0,0,0,0,0,0,1,0,0,6.493753839851686
None,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,900,CC,75.0,712.8,825.0,163.0,7.0,69.0,3,1,0,1,23,0,0,2,1,0,1.0,0,0,1,0,0,1,individual_electrical,2,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.803505257608338
accimmo,sector4,TOULOUSE EST,n4_3,Bonhoure - Guilheméry - Château de l'Hers - Limayrac - Côte Pavée,895,CC,49.0,536.0,846.0,161.5,11.0,67.0,3,1,0,0,0,0,0,2,1,0,1.0,0,1,0,0,0,1,gas,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.79794041297493
