agency,sector_no,sector_name,nbhd_no,nbhd_name,rent,charges,provisions,fees,deposit,energy_rating,gas_rating,area,rooms,entrance,duplex,livingroom,livingroom_area,equipped_kitchen,openplan_kitchen,bedrooms,bathrooms,shower_rooms,toilets,separate_toilet,balcony,terraces,wooden_floor,fireplace,storage,heating,parking,cellar,pool,apt_flr_nb,furnished,renovated,elevator,intercom,digital_code,view,caretaker,reduced_mobility,metro,tram,bus,logrent
l'immobilière de toulouse,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,750,CC,100.0,648.0,650.0,184.5,13.0,51.0,2,0,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,1,gas,0,0,0,2.0,1,0,0,0,0,0,0,0,1,0,0,6.621405651764134
era immobilier esquirol,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,734,CC,50.0,442.0,630.0,184.5,13.0,30.0,1,0,0,0,0,1,0,0,0,1,1.0,0,0,0,0,0,0,individual,0,0,0,1.0,1,0,0,1,1,0,0,0,1,0,0,6.5998704992128365
None,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,793,CC,125.0,977.21,668.0,38.0,9.0,75.17,3,0,0,1,0,0,0,2,1,0,1.0,0,1,0,0,0,1,collective_gas,0,0,1,2.0,0,0,1,1,1,0,1,0,0,0,0,6.677083461247136
auditia transaction - agent commercial,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,801,CC,60.0,538.98,610.0,147.0,12.0,65.67,3,0,0,1,0,1,0,2,1,0,1.0,0,0,1,0,0,0,individual_gas,1,0,0,1.0,0,0,0,1,0,0,0,0,1,0,1,6.687108607866515
saint aubin immobilier,sector6,TOULOUSE OUEST,n6_4,Saint Simon - Lafourguette - Oncopole,645,CC,110.0,590.0,535.0,36.0,6.0,60.0,3,1,0,1,0,0,0,2,1,0,1.0,0,0,1,0,0,1,individual_electrical,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.470799503782602
societe de gestion locative,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,671,CC,62.0,683.62,609.0,34.0,10.0,63.4,3,1,0,1,32,0,0,2,1,0,1.0,0,1,0,1,0,1,individual,1,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,6.51025834052315
auditia transaction - agent commercial,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,704,CC,60.0,538.98,610.0,147.0,12.0,61.8,3,1,0,0,0,0,0,2,1,0,1.0,0,0,1,0,0,0,individual_gas,1,0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,6.558197802812269
raoux immobilier,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,1845,CC,140.0,1023.0,1705.0,135.0,32.0,130.0,6,1,0,1,0,0,0,3,1,1,1.0,0,0,0,0,0,1,gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,7.520776415062797
adl immobilier,sector2,TOULOUSE RIVE GAUCHE,n2_1,Saint-Cyprien,399,CC,50.0,520.0,591.0,519.0,31.0,18.38,1,0,0,0,0,0,0,0,0,1,1.0,1,0,0,0,0,0,individual_electrical,0,0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,5.991464547107982
None,sector6,TOULOUSE OUEST,n6_2,Lardenne - Pradettes - Basso Cambo,790,CC,136.0,625.0,714.0,37.0,8.0,55.0,3,1,0,1,0,1,0,2,1,0,1.0,0,1,1,0,0,1,gas,1,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.673297967767654
sng extensia,sector3,TOULOUSE NORD,n3_1,Minimes - Barrière de Paris - Ponts-Jumeaux,664,CC,55.0,539.0,566.5,51.0,11.0,61.0,3,0,0,1,28,1,0,2,1,0,1.0,0,0,1,0,0,1,individual_gas,1,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,6.499787040655854
auditia transaction - agent commercial,sector3,TOULOUSE NORD,n3_2,Sept Deniers - Ginestous - Lalande,680,CC,60.0,559.5,563.735,50.0,9.0,59.82,3,1,0,1,0,0,0,2,1,0,1.0,1,0,1,0,0,0,individual_gas,1,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,6.523562306149512
cabinet du printemps,sector1,TOULOUSE CENTRE,n1_1,Capitole - Arnaud Bernard - Carmes,845,CC,50.0,442.0,630.0,184.5,13.0,60.0,3,0,0,0,0,0,0,2,0,1,1.0,1,0,0,0,0,1,individual_gas,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,6.740519359606223
immo de france midi-pyrenees,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,680,CC,60.0,538.98,610.0,169.0,7.0,65.0,3,0,0,0,0,1,0,2,1,0,1.0,0,0,1,0,0,1,individual_electrical,0,0,0,2.0,0,0,1,0,0,0,1,1,1,0,0,6.523562306149512
None,sector4,TOULOUSE EST,n4_2,Jolimont - Soupetard - Roseraie - Gloire - Gramont- Amouroux,792,CC,50.0,650.0,742.0,35.0,8.0,59.0,3,0,0,1,26,0,0,2,0,1,1.0,0,1,0,0,0,0,gas,0,0,0,2.0,0,0,0,0,0,0,0,0,1,0,1,6.675823221634848
